INFO 2025-05-11 13:25:55,019 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-11 13:25:55,019 autoreload Waiting for apps ready_event.
DEBUG 2025-05-11 13:25:55,051 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-05-11 13:25:55,056 autoreload Watching dir /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/auto_car/templates with glob **/*.
DEBUG 2025-05-11 13:25:55,056 autoreload Watching dir /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/locale with glob **/*.mo.
DEBUG 2025-05-11 13:25:55,056 autoreload Watching dir /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/auto_car/locale with glob **/*.mo.
DEBUG 2025-05-11 13:25:55,072 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-05-11 13:25:55,073 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-05-11 13:25:55,094 autoreload File /usr/lib/python3.13/lib-dynload/array.cpython-313-x86_64-linux-gnu.so first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,094 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/core/serializers/json.py first seen with mtime 1746826653.3095415
DEBUG 2025-05-11 13:25:55,094 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/asgiref/local.py first seen with mtime 1746826653.057042
DEBUG 2025-05-11 13:25:55,094 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/utils/ipv6.py first seen with mtime 1746826653.3311272
DEBUG 2025-05-11 13:25:55,094 autoreload File /usr/lib/python3.13/sqlite3/dbapi2.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,094 autoreload File /usr/lib/python3.13/lib-dynload/_json.cpython-313-x86_64-linux-gnu.so first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,094 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/db/migrations/operations/special.py first seen with mtime 1746826653.3157394
DEBUG 2025-05-11 13:25:55,094 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/views/decorators/csrf.py first seen with mtime 1746826653.3328242
DEBUG 2025-05-11 13:25:55,094 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/urllib3/connection.py first seen with mtime 1746920160.7640052
DEBUG 2025-05-11 13:25:55,094 autoreload File /usr/lib/python3.13/_markupbase.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,094 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/contenttypes/admin.py first seen with mtime 1746826653.2060776
DEBUG 2025-05-11 13:25:55,094 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/utils/inspect.py first seen with mtime 1746826653.3310874
DEBUG 2025-05-11 13:25:55,094 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/urllib3/poolmanager.py first seen with mtime 1746920160.7647512
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/core/files/storage/handler.py first seen with mtime 1746826653.3060274
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/lib-dynload/binascii.cpython-313-x86_64-linux-gnu.so first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/asyncio/base_tasks.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/email/header.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/core/handlers/asgi.py first seen with mtime 1746826653.3064916
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/template/exceptions.py first seen with mtime 1746826653.3269377
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/urllib3/response.py first seen with mtime 1746920160.7649875
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/http/__init__.py first seen with mtime 1746826653.3252423
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/views/decorators/__init__.py first seen with mtime 1746826653.3326397
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/json/decoder.py first seen with mtime 1744184665.0
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/core/signals.py first seen with mtime 1746826653.3039749
DEBUG 2025-05-11 13:25:55,095 autoreload File /home/G1nxx/Projects/IGI/353502_BURCHUCK_5/IGI/LR5/Parking/p_env/lib/python3.13/site-packages/django/contrib/messages/utils.py first seen with mtime 1746826653.260671
DEBUG 2025-05-11 13:25:55,095 autoreload File /usr/lib/python3.13/collections/__init__.py first seen with mtime 1744184665.0
